team,number,position,player_name,player_text,team_url,player_url
ヴォレアス北海道,2,OH,中道 優斗,#2 OH 中道 優斗,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/5592
ヴォレアス北海道,3,S,国京 大海,#3 S 国京 大海,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/5704
ヴォレアス北海道,4,MB,松下 彪雅,#4 MB 松下 彪雅,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/5705
ヴォレアス北海道,5,MB,井上 仁,#5 MB 井上 仁,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/1229
ヴォレアス北海道,6,S,山岸 隼,#6 S 山岸 隼,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/4384
ヴォレアス北海道,8,OH,日車 恭輔,#8 OH 日車 恭輔,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/4546
ヴォレアス北海道,9,OH,池田 幸太,#9 OH 池田 幸太,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/3577
ヴォレアス北海道,10,OH,メルト・タンメアル,#10 OH メルト・タンメアル,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/5593
ヴォレアス北海道,11,L,外崎 航平,#11 L 外崎 航平,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/3917
ヴォレアス北海道,12,L,荒尾 怜音,#12 L 荒尾 怜音,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/5083
ヴォレアス北海道,14,OP,張 育陞,#14 OP 張 育陞,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/3826
ヴォレアス北海道,15,MB,出口 大聖,#15 MB 出口 大聖,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/4751
ヴォレアス北海道,19,S,浜田 翔太,#19 S 浜田 翔太,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/2892
ヴォレアス北海道,20,OH,染野 輝,#20 OH 染野 輝,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/5035
ヴォレアス北海道,34,MB,三好 佳介,#34 MB 三好 佳介,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/4193
ヴォレアス北海道,44,MB,ティモ・タンメマー,#44 MB ティモ・タンメマー,https://www.svleague.jp/ja/sv_men/team/detail/479,https://www.svleague.jp/ja/sv_men/player/detail/5296
東京グレートベアーズ,1,OP,バルトシュ・クレク,#1 OP バルトシュ・クレク,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/4072
東京グレートベアーズ,3,S,深津 旭弘,#3 S 深津 旭弘,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/570
